Date,Open,High,Low,Close ,Adj Close ,Volume
28-Nov-21,394,396.37,376.03,382.73,349.3,"16,081,000"
21-Nov-21,393.16,407.48,382.72,389.39,355.38,"10,335,200"
14-Nov-21,406,407.34,381.04,387.39,353.56,"10,132,300"
7-Nov-21,409.89,413.65,397.25,404.91,369.55,"8,831,700"
31-Oct-21,417.07,426.16,403.03,407.08,371.53,"14,271,900"
24-Oct-21,416.21,419.81,409.06,413.35,377.25,"9,241,600"
17-Oct-21,408.01,415.94,404.62,414.32,378.13,"13,427,100"
10-Oct-21,392.9,407.27,378.63,406.07,370.61,"16,099,500"
3-Oct-21,380.21,397.85,372.82,392.81,358.5,"11,310,200"
26-Sep-21,396.58,404.21,375.85,380,346.81,"12,400,500"
19-Sep-21,377.82,393.74,372.5,390.85,356.71,"13,510,800"
12-Sep-21,407.41,417.01,388.83,391.46,357.27,"14,992,400"
5-Sep-21,411,414.73,403.16,403.48,368.24,"7,583,800"
29-Aug-21,419.95,420.76,408.76,411.31,373.57,"8,931,900"
22-Aug-21,401.89,420.73,399,419.69,381.18,"9,912,300"
15-Aug-21,408.99,408.99,390.91,395.87,359.55,"9,709,500"
8-Aug-21,396.59,418.62,393.58,410.78,373.09,"13,764,700"
1-Aug-21,376.17,398.86,371.77,397.89,361.38,"10,577,900"
25-Jul-21,373.18,379.95,369.22,374.88,340.48,"7,791,300"
18-Jul-21,354,378,349,374.05,339.73,"13,325,300"
11-Jul-21,370.31,385.33,363.83,364.8,331.33,"18,665,600"
4-Jul-21,373.23,373.63,355.59,371.76,337.65,"9,758,000"
27-Jun-21,367.8,381.64,363.86,374.16,339.83,"10,607,600"
20-Jun-21,352.89,371.15,351.04,368.77,334.94,"11,800,200"
13-Jun-21,377.43,378.75,348.13,348.83,316.82,"18,564,000"
6-Jun-21,393,393.26,372.35,378.05,343.36,"12,685,300"
30-May-21,377.7,392.05,376.31,391.45,355.53,"11,971,700"
23-May-21,367.32,373.77,361.91,372.02,336.75,"12,653,200"
16-May-21,367.78,373.08,353.35,366.26,331.54,"12,117,800"
9-May-21,373.5,376.98,353.25,368.77,333.81,"15,846,600"
2-May-21,350.34,371.65,342.57,370.89,335.73,"13,916,700"
25-Apr-21,341.94,353.83,340.89,348.45,315.41,"11,086,500"
18-Apr-21,340,344.43,327.56,339.35,307.18,"13,952,800"
11-Apr-21,332.67,344.47,324.18,342.31,309.86,"24,358,200"
4-Apr-21,332.85,334.9,322.97,330.81,299.45,"11,943,900"
28-Mar-21,320.35,335.75,317.72,327.64,296.58,"12,534,000"
21-Mar-21,341.06,342.88,321.92,327.39,296.35,"13,771,500"
14-Mar-21,349.44,356.85,337.75,344.2,311.57,"14,545,700"
7-Mar-21,331.36,350,325.57,348.81,315.74,"14,669,200"
28-Feb-21,325,340.1,316.46,327.37,295.17,"16,802,200"
21-Feb-21,313,335.81,310.58,319.48,288.06,"18,015,400"
14-Feb-21,310,316.78,307.58,315.62,284.58,"9,968,100"
7-Feb-21,295,306.7,294.5,306.32,276.19,"12,248,800"
31-Jan-21,272.66,297.24,272,293.5,264.63,"16,165,200"
24-Jan-21,285.53,286.35,270.62,271.17,244.5,"18,954,300"
17-Jan-21,305,306.6,285.5,289.39,260.93,"16,605,200"
10-Jan-21,286.8,309.41,284.2,301.01,271.41,"16,933,800"
3-Jan-21,267,295.89,260.16,290.08,261.55,"20,973,100"
27-Dec-20,257.81,263.93,256.5,263.71,237.77,"7,833,900"
20-Dec-20,250.29,260.85,248.76,256.16,230.97,"15,352,500"
13-Dec-20,243.28,245.93,237.19,242.13,218.32,"13,748,400"
6-Dec-20,238.54,245.36,235.45,239.99,216.39,"11,331,700"
29-Nov-20,232.05,239.75,230.36,239.58,214.85,"11,934,900"
22-Nov-20,226.06,238.12,225.73,235.4,211.1,"10,609,700"
15-Nov-20,223.53,227.72,218.33,223.35,200.29,"11,937,100"
8-Nov-20,214.49,220.96,209.37,219.08,196.46,"19,645,300"
1-Nov-20,192,204.39,188.23,201.26,180.48,"16,241,500"
25-Oct-20,202.49,202.81,185.52,189.04,169.52,"18,134,700"
18-Oct-20,207.39,211.38,202.01,205.04,183.87,"13,901,500"
11-Oct-20,207.41,214.89,205.81,206.21,184.92,"21,911,800"
4-Oct-20,201.93,209.81,199.59,207.54,186.11,"13,082,800"
27-Sep-20,197.78,203.13,195.29,199.9,179.26,"13,585,800"
20-Sep-20,189.9,197.46,185.87,194.95,174.82,"19,563,800"
13-Sep-20,203.3,203.8,192.38,194.86,174.74,"23,387,000"
6-Sep-20,209.51,209.96,198.95,200.92,180.18,"14,142,800"
30-Aug-20,205.5,215.23,203.01,210.94,188.02,"16,270,800"
23-Aug-20,203.11,213,201.32,207.71,185.15,"15,678,000"
16-Aug-20,207,207.85,199.82,202.43,180.44,"12,994,100"
9-Aug-20,209.59,216.95,206.61,207.97,185.38,"13,422,400"
2-Aug-20,198.49,208.8,196.53,208.27,185.65,"11,429,100"
26-Jul-20,200.1,204.18,196.3,197.96,176.46,"12,833,400"
19-Jul-20,210.73,213.81,201.32,201.47,179.58,"17,920,700"
12-Jul-20,209,225.24,207,211.41,188.44,"31,552,200"
5-Jul-20,201.34,207.79,195,205.56,183.23,"16,785,800"
28-Jun-20,191.38,203,188.66,197.4,175.96,"12,158,300"
21-Jun-20,200.99,207.51,188.51,189.19,168.64,"20,012,600"
14-Jun-20,195.73,214.98,195.15,201.63,179.73,"15,378,900"
7-Jun-20,220.02,222.26,194.02,201.78,179.86,"17,134,100"
31-May-20,197.31,222.98,195.12,217.92,194.25,"18,091,300"
24-May-20,185.63,211.31,185.22,196.49,174.06,"22,862,000"
17-May-20,177.71,183.83,175.24,179.93,159.39,"13,646,100"
10-May-20,182.54,184.85,165.36,171.87,152.25,"16,251,200"
3-May-20,175,185.91,171.72,185.39,164.22,"13,429,000"
26-Apr-20,179.1,193.72,176.65,177.1,156.88,"14,519,700"
19-Apr-20,179.7,186.32,173.49,177,156.79,"14,846,000"
12-Apr-20,183.85,185.28,169.15,183.49,162.54,"25,055,500"
5-Apr-20,155.47,187.33,153.77,184.26,163.22,"21,283,500"
29-Mar-20,158.52,161.1,141.67,146.93,130.15,"19,678,600"
22-Mar-20,136.03,167.66,133.26,158.34,140.26,"31,656,700"
15-Mar-20,150.23,169.54,130.85,138.41,122.61,"37,417,000"
8-Mar-20,173.58,185.4,150,177.17,156.94,"33,287,000"
1-Mar-20,201.41,211.79,189.28,192.85,170.83,"23,706,500"
23-Feb-20,223.23,226.69,194.85,200.77,176.77,"26,228,900"
16-Feb-20,236.55,237.8,228.37,230.62,203.05,"11,208,900"
9-Feb-20,237.4,241.18,235.46,237.08,208.74,"10,129,300"
2-Feb-20,238.36,245.77,236.55,238,209.55,"14,144,200"
26-Jan-20,236.37,246.5,235.01,237.75,209.33,"16,085,300"
19-Jan-20,247.21,248.85,240.6,241.92,213,"10,207,500"
12-Jan-20,244.44,250.46,239.16,249.46,219.64,"20,150,000"
5-Jan-20,229.93,243.4,229.49,242.11,213.16,"18,378,000"
29-Dec-19,231.68,234.64,228.67,231.58,203.89,"8,952,500"
22-Dec-19,229.66,232.21,228.37,230.66,203.08,"5,186,000"
15-Dec-19,228.5,232.2,227.87,228.93,201.56,"15,222,800"
8-Dec-19,224.61,227.99,220.55,225,198.1,"10,649,800"
1-Dec-19,220.97,225.4,210,224.61,197.76,"12,467,900"
24-Nov-19,220.89,224.28,220.41,221.35,193.79,"6,493,100"
17-Nov-19,219.73,220.71,216.4,220.28,192.86,"8,805,000"
10-Nov-19,220.9,221.41,217.01,220.25,192.83,"9,578,300"
3-Nov-19,219.7,224.77,216.55,222.91,195.16,"12,285,600"
27-Oct-19,216.32,219.28,211.32,217.39,190.33,"10,312,000"
20-Oct-19,208.67,215.42,207.68,214.23,187.56,"9,246,000"
13-Oct-19,203.83,208.93,198.61,206.52,180.81,"19,017,300"
6-Oct-19,200.79,207.29,195.92,204.68,179.2,"12,742,900"
29-Sep-19,209.71,209.71,193.99,200.8,175.8,"14,273,100"
22-Sep-19,212.85,214.2,206.8,208.97,182.96,"9,132,900"
15-Sep-19,217.82,219.33,212.54,213.74,187.13,"14,164,600"
8-Sep-19,209.22,221.5,208.44,219.9,192.52,"12,872,800"
1-Sep-19,201.1,208.93,196.58,207.21,181.41,"8,030,900"
25-Aug-19,198.27,205.21,196.25,203.91,177.41,"7,739,400"
18-Aug-19,203.81,204.45,195.19,196.2,170.7,"7,828,900"
11-Aug-19,203.28,206.6,193.71,199.42,173.51,"10,480,900"
4-Aug-19,205.82,208.3,199.05,206.9,180.01,"11,730,100"
28-Jul-19,221,222.13,205.31,209.37,182.16,"10,581,600"
21-Jul-19,213.4,222.24,212.31,222.14,193.27,"13,498,900"
14-Jul-19,214.11,217.33,209.79,213.52,185.77,"15,147,800"
7-Jul-19,206.36,214.19,203.54,213.94,186.14,"11,763,400"
30-Jun-19,208,209.85,204.16,207.9,180.88,"6,577,300"
23-Jun-19,196.53,205.84,194.01,204.6,178.01,"12,642,100"
16-Jun-19,192.02,198.34,190.67,195.94,170.48,"11,830,200"
9-Jun-19,191.4,197,189.31,191.66,166.75,"8,878,900"
2-Jun-19,181.7,190.74,180.73,189.81,165.14,"10,738,500"
26-May-19,192,193.31,182.31,182.49,158.06,"10,415,200"
19-May-19,197.09,199.32,189.56,193,167.17,"12,059,500"
12-May-19,197.9,200,193.42,197.43,171,"12,276,400"
5-May-19,202.8,206.98,197.91,202.05,175,"11,007,700"
28-Apr-19,203.5,208.75,203.12,207.52,179.74,"10,224,100"
21-Apr-19,205.12,205.59,199.1,203.08,175.9,"11,936,800"
14-Apr-19,204.11,208.5,199.24,205.91,178.35,"18,539,400"
7-Apr-19,202.79,209.97,198.86,207.84,180.02,"14,098,200"
31-Mar-19,194,205.5,193.61,202.38,175.29,"14,066,900"
24-Mar-19,189.33,193.11,186.5,191.99,166.29,"13,981,100"
17-Mar-19,199.18,206.45,187.78,188.96,163.67,"21,407,900"
10-Mar-19,197.23,198.97,195.69,198.26,171.72,"11,018,400"
3-Mar-19,198.81,200.83,189.71,195.24,169.11,"14,000,200"
24-Feb-19,198,201.5,196.01,198.2,170.98,"12,881,000"
17-Feb-19,196.66,199.45,195.05,196,169.08,"10,236,700"
10-Feb-19,192.88,198.89,189.44,198.5,171.24,"13,137,100"
3-Feb-19,195.8,199.33,188.22,191.67,165.35,"12,770,600"
27-Jan-19,197.99,203.29,196.54,196.54,169.55,"16,615,700"
20-Jan-19,200.5,201.47,194.53,200.74,173.17,"13,966,000"
13-Jan-19,174.52,203,174.1,202.54,174.72,"35,295,600"
6-Jan-19,175.23,178.1,172.27,176.93,152.63,"15,157,600"
30-Dec-18,163.78,176,163.35,175.05,151.01,"16,397,900"
23-Dec-18,159,165.95,151.7,163.03,140.64,"19,921,700"
16-Dec-18,169.4,174.85,159.42,160.05,138.07,"34,310,900"
9-Dec-18,178.6,184.43,172.37,172.77,149.04,"22,006,400"
2-Dec-18,194,195.66,179,179.67,154.99,"19,011,200"
25-Nov-18,191.17,198.45,188.12,190.69,163.84,"18,137,300"
18-Nov-18,201.83,202.3,188.94,189.1,162.47,"14,907,200"
11-Nov-18,222,222.31,198.44,202.12,173.66,"30,836,300"
4-Nov-18,228.32,234.06,222.3,222.65,191.3,"14,481,600"
28-Oct-18,214.15,231.69,212.05,229.69,197.35,"17,801,800"
21-Oct-18,226.93,228.87,208.4,212.36,182.46,"16,945,300"
14-Oct-18,214.45,228.9,213.05,226.96,195,"19,966,200"
7-Oct-18,224.26,226.92,210.95,213.87,183.75,"18,720,000"
30-Sep-18,226.22,231.4,223.97,225.71,193.93,"11,923,900"
23-Sep-18,234.74,235.74,223.8,224.24,192.66,"11,982,200"
16-Sep-18,229.4,238.52,226.57,235.34,202.2,"14,396,700"
9-Sep-18,235.01,235.5,227.3,229.24,196.96,"13,477,100"
2-Sep-18,237.76,239.45,232.68,233.91,200.97,"8,779,800"
26-Aug-18,236.99,245.08,236.56,237.81,203.65,"12,898,800"
19-Aug-18,234.13,239.67,234.08,235.11,201.34,"10,925,900"
12-Aug-18,229.49,233.72,226.57,233.38,199.85,"12,785,700"
5-Aug-18,234.14,239.46,228.11,229.61,196.63,"13,996,800"
29-Jul-18,238,239.73,232.77,234.09,200.46,"13,101,100"
22-Jul-18,231.8,238.8,231.72,237.64,203.5,"11,741,100"
15-Jul-18,227.2,233.72,226.74,231.69,198.41,"26,023,300"
8-Jul-18,223.36,228.87,223,226.41,193.89,"12,560,300"
1-Jul-18,219.75,224.64,218.89,221.79,189.93,"6,992,200"
24-Jun-18,224.5,225.47,219.12,220.57,188.88,"16,081,100"
17-Jun-18,230.2,231.67,224.57,226.02,193.55,"14,158,800"
10-Jun-18,234.62,238.23,229.84,231.92,198.6,"15,291,900"
3-Jun-18,230.35,235.92,227.29,233.39,199.86,"11,844,300"
27-May-18,231.52,232.47,224.09,228.35,194.86,"17,338,000"
20-May-18,239.1,240.7,233.65,235.01,200.54,"11,911,500"
13-May-18,243.6,245.88,236.87,237,202.24,"11,221,100"
6-May-18,236,245.42,235.28,242.92,207.29,"11,819,500"
29-Apr-18,240.97,243.07,227.4,234.94,200.48,"16,904,900"
22-Apr-18,251.66,252.75,237.51,239.8,204.63,"18,550,300"
15-Apr-18,257.13,262.25,251.48,251.96,215,"24,837,200"
8-Apr-18,251.48,262.5,249.17,255.92,218.38,"15,777,900"
1-Apr-18,251.26,258,243.77,249.97,213.31,"14,318,000"
25-Mar-18,250.65,257.06,244.37,251.86,214.92,"12,502,800"
18-Mar-18,266.99,267.5,244.93,245.26,209.29,"14,882,800"
11-Mar-18,271,275.31,263.91,267.6,228.35,"14,202,000"
4-Mar-18,256.46,271.09,256.24,270.77,231.06,"14,148,500"
25-Feb-18,267.5,273.12,252.1,258.12,219.64,"15,602,600"
18-Feb-18,266.89,270,260.72,266.77,227.01,"10,822,300"
11-Feb-18,251.15,269.28,248.82,267.62,227.73,"16,312,400"
4-Feb-18,257.51,263.3,239.29,249.3,212.14,"27,538,200"
28-Jan-18,269.04,273.79,259.35,260.04,221.28,"20,863,800"
21-Jan-18,255.45,270.5,255.19,268.14,228.17,"22,172,700"
14-Jan-18,259.25,262,248.84,256.12,217.94,"22,681,500"
7-Jan-18,254.75,257.3,251.62,257.03,218.72,"13,776,600"
31-Dec-17,257.77,259.72,253.22,255.52,217.43,"10,424,400"
24-Dec-17,258.19,259.2,252.91,254.76,216.79,"6,677,500"
17-Dec-17,260,262.14,254.55,258.97,220.37,"12,261,900"
10-Dec-17,250,260.5,248.76,257.17,218.84,"17,077,300"
3-Dec-17,254.89,254.9,244.4,250.35,213.03,"12,810,400"
26-Nov-17,235.75,250.79,234.33,248.95,211.18,"20,842,500"
